parcelid,logerror,transactiondate,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomflag,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock
11016594,0.0276,"Friday, January 01, 2016",1,,,2,FALSE,3,,4,2,,,1684,1684,,,,,6037,,2,,,,2,34280992,-118488536,7528,,,,,,100,261,LARS,60371066.46,12447,3101,31817,96370,0,,,,1,,,1959,,,122754,360170,2015,237416,6735.8799,,,6.03711E+13
14366692,-0.1684,"Friday, January 01, 2016",,,,3.5,TRUE,4,,,3.5,,,2263,2263,,,,,6059,,3,2,468,,,33668120,-117677552,3643,,,,,,1,261,,60590524.22,32380,1286,,96962,0,,1,,,,,2014,,,346458,585529,2015,239071,10153.0195,,,
12098116,-0.004,"Friday, January 01, 2016",1,,,3,FALSE,2,,4,3,,,2217,2217,,,,,6037,,3,,,,2,34136312,-118175032,11423,,,,,,100,261,PSR6,60374638,47019,3101,275411,96293,0,,,,1,,,1940,,,61994,119906,2015,57912,11484.4805,,,6.03746E+13
12643413,0.0218,"Saturday, January 02, 2016",1,,,2,FALSE,2,,4,2,,,839,839,,,,,6037,,2,,,,2,33755800,-118309000,70859,,,,,,010C,266,LAR3,60372963,12447,3101,54300,96222,0,,,,1,,,1987,,,171518,244880,2015,73362,3048.74,,,6.0373E+13
14432541,-0.005,"Saturday, January 02, 2016",,,,2.5,FALSE,4,,,2.5,,,2283,2283,,,,,6059,,2,2,598,,,33485644,-117700232,6000,1,,,,1,122,261,,60590423.38,17686,1286,,96961,8,,1,,,,,1981,2,,169574,434551,2015,264977,5488.96,,,6.05904E+13
11509835,-0.2705,"Saturday, January 02, 2016",1,,,4,TRUE,4,,1,4,,,3067,3067,,,,,6037,,4,,,,2,33870088,-118402768,2708,,,,,,100,261,HBR3YY,60376210.04,29712,3101,,96109,0,,,,1,,,1982,,,880650,2447951,2015,1567301,27126.5703,,,6.03762E+13
12286022,0.044,"Saturday, January 02, 2016",,,,1,FALSE,2,,7,1,,,1297,1297,,,,,6037,,1,,,,7,33899476,-118212720,6677,,,,,,100,261,CORH,60375416.05,24174,3101,,96091,0,,,,1,,,1939,,,64549,111521,2015,46972,2304.97,,,6.03754E+13
17177301,0.1638,"Saturday, January 02, 2016",,,,2.5,FALSE,3,,,2.5,,853,1763,1763,,,853,,6111,1,2,2,0,,,34207204,-119165592,,,,,,,1129,266,,61110031,13150,2061,,97101,6,,1,,,,,1994,2,,107000,306000,2015,199000,3745.5,,,6.111E+13
14739064,-0.003,"Saturday, January 02, 2016",,,,1,FALSE,2,,,1,,,796,796,,,,,6059,,1,1,0,,,33549600,-117678000,,,,,,,34,266,,60590423.15,25459,1286,,96987,0,,,,,,,1984,,,66834,210064,2015,143230,2172.8799,,,6.05904E+13
14677559,0.0843,"Sunday, January 03, 2016",,,,2,FALSE,2,,,2,,,1260,1260,,,,,6059,,2,1,0,,,33612700,-117742000,,,,,,,34,266,,60590626.48,46098,1286,,96963,5,,,,,,,1977,1,,109977,190960,2015,80983,1940.26,,,6.05906E+13
